will_end_trend_at_period_t+1_or_not,t_period_log_views_per_day_percentage_change,appeared_times
False,-3.9068087325396568,7
False,-4.088166345146005,8
False,-3.4789889932845313,9
True,-3.435237878977419,10
False,-2.338632100151664,1
False,-3.778428855892498,2
False,-4.851704251833249,3
False,-6.1151722544027605,4
False,-6.47743414199735,5
False,-6.546674508361453,6
False,-6.840633056185627,7
False,-6.740232450770401,8
False,-7.112393056637111,9
True,-7.471093998330161,10
False,-1.1096439244927534,1
False,-1.8216583567420492,2
False,-2.053952691401538,3
False,-2.120526161137838,4
False,-2.20753072302602,5
False,-2.406941403628473,6
False,-2.5717299874673483,7
False,-2.656342493799481,8
False,-2.748947165971,9
False,-2.8966453772060885,10
True,-2.9505420000526943,11
False,-1.5120242771042403,1
False,-2.7536571690834992,2
False,-2.7723555721374584,3
False,-3.193946665631898,4
False,-3.673484154739703,5
False,-3.391220700531164,6
False,-3.8780172752092894,7
False,-4.164756944673872,8
False,-4.086290545514677,9
True,-4.3160126765953475,10
False,-2.432064595979274,1
False,-3.885504789120863,2
False,-4.245739206004145,3
False,-3.931882865814276,4
False,-4.144238539853584,5
False,-4.496628236915563,6
False,-4.736088341302913,7
False,-4.757643667205953,8
False,-4.749445807367061,9
True,-4.896058167410261,10
False,-2.494925832378697,1
False,-3.5380124395385053,2
False,-3.7870140396819005,3
False,-4.620680698043416,4
False,-4.969720241360862,5
False,-5.175557467771514,6
False,-5.358957305340453,7
False,-5.557253842935352,8
False,-5.608392967079835,9
True,-5.893067540441428,10
False,-1.29822250542838,1
False,-2.2061016241653264,2
False,-2.7748817665697247,3
False,-2.742911668003156,4
False,-2.733655592896032,5
False,-2.9223754514225324,6
False,-3.1313675375436056,7
False,-3.291355487280057,8
False,-3.342259452472023,9
True,-3.6523337948962635,10
False,-1.6245491274480501,1
False,-2.0145767144791553,2
False,-2.3509386786603654,3
False,-2.3586021901467684,4
False,-2.216516913491119,5
False,-2.474561316679998,6
False,-2.782899611958833,7
False,-2.8195375547815154,8
False,-2.842797606848392,9
False,-2.943563395566127,10
True,-2.9029881169717693,11
False,-2.7293992522829695,1
False,-3.6995323734297227,2
False,-4.0400803068999,3
False,-4.189778371174919,4
False,-4.297101311623105,5
False,-4.4611860117369595,6
False,-4.479748727631536,7
False,-4.3982486476045874,8
True,-4.66686140878877,9
False,-2.1483251087843644,1
False,-2.9903845017923665,2
False,-3.3006769634534137,3
False,-3.494226256705007,4
False,-3.7261827725682055,5
False,-3.921939549879293,6
False,-4.030429488971298,7
False,-4.080354013477003,8
True,-4.207400098033559,9
False,-2.9829316128728283,1
True,-4.031182820784502,2
True,-2.7225055574161554,1
True,-2.7225055574161554,1
False,-1.3002600237780875,1
False,-1.9274924748901143,2
False,-2.27109081332295,3
False,-2.2284602516022227,4
False,-2.313928708249238,5
False,-2.4535592298822855,6
False,-2.654488279981128,7
False,-2.84618666840219,8
False,-2.873418289231105,9
True,-2.833815215902045,10
False,-2.1481637353841587,1
True,-3.1047369348908065,2
False,-3.1062773215041766,1
False,-4.056584861532231,2
False,-4.302079066324975,3
False,-4.553456292364143,4
False,-4.823642124117867,5
False,-4.988995116063082,6
False,-5.26557141021536,7
False,-5.2251855760497765,8
True,-5.3468074157848395,9
False,-2.154398473908518,1
True,-2.713714994657907,2
False,-2.753993893546964,1
False,-3.7113847168482934,2
False,-3.879837893433069,3
False,-3.935802848307778,4
False,-4.143971056623436,5
False,-4.131981803294453,6
False,-4.593978887130654,7
False,-4.616320148690552,8
True,-4.974596093699084,9
False,-3.087049320983235,1
False,-3.5525264097460885,2
False,-3.486238370642772,3
False,-3.9949292888194803,4
False,-4.180085312227265,5
False,-4.455019440580097,6
False,-4.601381596523041,7
False,-4.645982477225201,8
True,-4.592403533023943,9
False,-2.013022883031655,1
False,-2.717472753734158,2
False,-2.9642482093236397,3
False,-3.158414162393771,4
False,-3.151673718126081,5
False,-3.793851214971123,6
False,-4.066024172417787,7
True,-3.6628105766367423,8
False,-3.1066553061137268,1
False,-4.046710849847482,2
False,-4.316238993737467,3
False,-4.270204948442108,4
False,-3.9009810380008942,5
False,-4.5028330850242675,6
False,-5.0310570128536884,7
False,-5.144209420850397,8
True,-5.507514834571684,9
False,-1.2625271495243686,1
False,-2.005778311897399,2
False,-2.1664484250367186,3
False,-2.0497605087895083,4
False,-2.1993563298377,5
False,-2.455170199556613,6
False,-2.396336304265728,7
False,-2.2422824140644217,8
False,-2.4118609896164513,9
True,-2.601475613197197,10
False,-1.8397866785010915,1
False,-2.274803739138566,2
False,-2.312243623436623,3
False,-2.2004306979083994,4
False,-2.319286805575726,5
False,-2.5155008016385243,6
False,-2.7835562875070305,7
True,-2.896117142291494,8
False,-2.2971388453439743,1
False,-4.035312736888159,2
False,-4.672289990707288,3
False,-4.988224532689869,4
False,-5.009698317994567,5
False,-5.1215042245055455,6
False,-5.728468997279489,7
True,-5.957672265809817,8
False,-0.33514301160524984,1
False,-3.847859069772056,2
False,-4.6393990650387025,3
False,-5.273170484126081,4
False,-5.1241340329705425,5
False,-5.640893386107267,6
False,-5.430862696249194,7
False,-5.697596715569115,8
True,-5.561183177460882,9
False,-0.9600424935559687,1
False,-1.5326907410716004,2
False,-1.819239323647484,3
False,-1.921583432144621,4
False,-2.220970041265599,5
False,-2.443111991312726,6
False,-2.6233962448636112,7
False,-2.6930252290800243,8
False,-2.7026920129494645,9
True,-2.6652690657225544,10
False,-0.07192504179550596,1
False,-2.6743588880481375,2
False,-4.545066261918386,3
False,-4.6127881542679035,4
False,-4.970970037703824,5
False,-5.728188102024342,6
False,-5.473606679214217,7
True,-5.929779094952817,8
False,-1.2802056410584814,1
False,-1.757242640682045,2
False,-2.511345098276814,3
False,-2.4092153688926303,4
False,-2.6633854128282004,5
False,-3.0636356872882513,6
False,-2.9263334755341672,7
True,-3.3716332212562277,8
False,-1.4073032596017607,1
False,-1.842913181711551,2
False,-1.996458398019869,3
False,-1.992694103839348,4
False,-2.05417759994566,5
False,-2.2028659595486046,6
False,-2.388536629675762,7
False,-2.415814476665401,8
True,-2.518801290870698,9
False,-1.8956608223068907,1
False,-3.0233399769070965,2
False,-3.3093321863034535,3
False,-3.5833968727998937,4
False,-3.7668167697063826,5
False,-3.734265310361011,6
False,-3.542398869588153,7
False,-3.478507995178393,8
True,-3.392601175793312,9
False,-3.9441603644680967,1
False,-5.120018762717163,2
False,-5.532801616175187,3
False,-5.463140654140071,4
False,-5.433289801523937,5
False,-6.286868412617204,6
False,-6.4649475178786915,7
True,-6.785322141110611,8
False,-2.323497992392736,1
False,-3.034711889147944,2
False,-3.1057492957120316,3
False,-3.073485802927759,4
False,-3.0979511312540255,5
False,-3.3746529808157484,6
False,-3.6870962123157156,7
True,-3.3547784092991297,8
False,-3.217782222988364,1
False,-4.340464661508284,2
False,-4.530686908894705,3
False,-4.8746280444372,4
False,-4.8339871880905205,5
False,-4.754706048282688,6
False,-5.093122014553048,7
True,-4.778643185705562,8
False,-1.772683421307513,1
True,-2.517691475136104,2
False,-3.2870474225630173,1
False,-4.215746058351202,2
False,-4.5407835852026395,3
False,-4.693662157560639,4
False,-4.742039640655162,5
False,-4.858835305047292,6
False,-5.348715467595921,7
True,-5.450470401691815,8
False,-3.208190387900256,1
False,-4.358883058278326,2
False,-4.629210891463558,3
False,-4.7179489483748585,4
False,-4.682628245027095,5
False,-4.777835354907885,6
False,-4.574595708636155,7
True,-4.992952673190529,8
False,-2.8005307738811824,1
False,-3.5796758665064248,2
False,-3.8178610756335107,3
False,-4.060143888910823,4
False,-4.160808471219868,5
False,-4.297704208489576,6
False,-4.697958639966702,7
True,-4.6620270784931215,8
False,-1.3164250001076918,1
False,-2.4244840211931185,2
False,-2.70400018593462,3
False,-2.603232577217018,4
False,-2.79094820803271,5
False,-3.087703603704374,6
False,-3.1793948643303747,7
True,-3.3467033805291866,8
False,-1.8932441589056073,1
False,-2.2863116979354037,2
False,-2.4402234328441748,3
False,-2.5010392642760912,4
False,-2.7931220116792272,5
False,-3.0181553189826413,6
False,-3.172752954179719,7
True,-3.2171525065680964,8
False,-2.8201907143294513,1
False,-3.732216641414546,2
False,-3.928523552692253,3
False,-3.9955341708016765,4
False,-4.033930683437741,5
False,-4.0056264387950975,6
False,-4.252354624441653,7
True,-4.22503666114503,8
False,-2.936820055526222,1
False,-3.88398147418555,2
False,-4.423580969113496,3
False,-4.703560542830947,4
False,-4.690341362031582,5
False,-4.615157311875994,6
False,-4.64346300057553,7
True,-4.6791203900240905,8
False,-1.8304557036162434,1
False,-2.113042967539733,2
False,-2.185712732316811,3
False,-2.5693871323478663,4
False,-2.711052849677793,5
False,-2.772695485705425,6
False,-2.9553499692476626,7
False,-2.7730822938773936,8
True,-2.8012127953656423,9
False,-3.8889381866567527,1
False,-4.6235724994883025,2
False,-4.838694083212622,3
False,-5.129256991028079,4
False,-5.011845154605784,5
False,-5.530990107416287,6
False,-5.95525595961266,7
True,-5.970748190800254,8
False,-2.384185832478581,1
False,-3.026798247243695,2
False,-3.4016976701069632,3
False,-3.1806475822646587,4
False,-3.283522312796752,5
False,-3.459954266340586,6
False,-3.5463406982461914,7
True,-3.618895114865032,8
False,-4.0734226857611215,1
False,-4.799129306808548,2
False,-5.3214531449720335,3
False,-5.949805148491339,4
False,-6.0510687753351675,5
False,-6.092412643155034,6
False,-5.949318586299165,7
True,-4.792763690007801,8
False,-3.0483410288739097,1
False,-4.042808068891754,2
False,-4.255733827672418,3
False,-4.345897403722734,4
False,-4.441386300858618,5
False,-4.527427903592252,6
False,-4.606563504055405,7
True,-4.880962503600036,8
False,-3.4502654394001397,1
False,-4.224679618862355,2
False,-4.288976959970069,3
False,-4.356264941204756,4
False,-5.122941658646304,5
True,-5.371283814394859,6
False,-3.0732447999776356,1
False,-3.8060716914369106,2
False,-4.314817884980432,3
False,-4.61038951646523,4
False,-4.532281803110167,5
False,-4.416723835664036,6
False,-4.6944703463258195,7
True,-4.301890102453057,8
False,-3.1984555841804743,1
False,-3.724043330203861,2
False,-4.096543133530348,3
False,-4.123149061267668,4
False,-4.063694801290067,5
True,-4.085724979288294,6
False,-2.9431473514704023,1
False,-3.7659309395134737,2
False,-4.4086228168627155,3
False,-4.479678956474901,4
False,-4.411563341499656,5
False,-4.5674562234793505,6
False,-4.753460269466448,7
True,-4.033957275571582,8
False,-2.292490030157572,1
False,-3.7954998798429807,2
False,-4.244342524820188,3
False,-4.443827035579329,4
False,-4.694122884520026,5
False,-4.811316501238529,6
False,-4.539835851088991,7
True,-5.148803247747258,8
False,-3.5621661953432175,1
False,-4.09436012052895,2
False,-4.193718318618259,3
False,-3.8586421751378905,4
False,-4.162667591891555,5
False,-4.312374929953732,6
False,-4.870230644269947,7
True,-5.734419444118091,8
False,-3.4415486771857227,1
False,-3.624645551346162,2
False,-3.7484249565295227,3
False,-4.2168120078368,4
False,-6.062261404468592,5
False,-6.16063511759334,6
False,-6.155815370735144,7
True,-6.600918398028098,8
False,-1.6369961968974778,1
False,-2.8949856576456767,2
False,-3.3903756929248923,3
False,-3.325151931985948,4
False,-3.371162317147317,5
False,-3.0780285410963693,6
False,-3.309867553846458,7
True,-3.7433819728426627,8
False,-4.44502036444512,1
False,-4.95504774366977,2
True,-6.11755407342189,3
False,-1.7401826611590703,1
False,-2.566809390548373,2
False,-2.8416621974008813,3
False,-3.2407031732798535,4
False,-3.4877191686016658,5
False,-3.400158374917579,6
False,-3.4778524252438765,7
True,-3.704909501501369,8
False,-3.0974951702998483,1
False,-3.6952094558064537,2
False,-3.6686432602876713,3
False,-3.9145941020864936,4
False,-4.184067689421403,5
False,-4.379221101929902,6
False,-4.562064512410327,7
True,-4.688032938883436,8
False,-2.7719598924712203,1
False,-3.6467979423822805,2
False,-4.347024478693841,3
False,-4.414155674121195,4
False,-4.815403598436986,5
False,-4.998416337935998,6
False,-5.180868004215787,7
True,-5.29679908566833,8
False,-3.010504645274222,1
False,-3.926988997565813,2
False,-4.531790991603833,3
False,-4.530547311820688,4
False,-5.172251236658935,5
False,-5.146269913602979,6
True,-5.732448868729449,7
False,-2.6776971705820785,1
False,-3.231932126413148,2
False,-3.699822149356507,3
False,-3.556463379288419,4
