will_end_trend_at_period_t+1_or_not,t_period_log_views_per_day_percentage_change,appeared_times
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
False,0.3923251801929803,1
False,-1.8158279571042923,2
False,-2.9103669038934434,3
False,-2.733874759066565,4
False,-3.3670655223712527,5
False,-3.8702701671111495,6
True,-4.107681334675872,7
False,0.8877779075054636,1
False,-1.5704389874084197,2
False,-2.972992456501327,3
False,-3.7612117832022345,4
False,-4.122300122272248,5
False,-4.41330558510937,6
True,-4.721628569688874,7
False,-0.09219565644773017,1
False,-2.0268820992401464,2
False,-3.1145384996179657,3
False,-3.416329146454157,4
False,-3.59420607342112,5
False,-3.9397561042976936,6
True,-4.054263599821834,7
False,-0.5456495787325776,1
False,-1.584242243496863,2
False,-3.244358592356906,3
False,-3.760725254099909,4
False,-4.389273772175119,5
True,-4.656707853603566,6
False,0.006624992488153919,1
False,-2.25313433057202,2
False,-2.895002432169015,3
False,-2.8773749849443178,4
False,-3.127122571758196,5
False,-3.4976797359126164,6
True,-1.6771421949252787,7
False,0.9101815222513024,1
False,-1.0721207163968702,2
False,-2.4590942554422384,3
False,-3.319334404685685,4
False,-3.3127589381446274,5
False,-3.5468820144523825,6
True,-4.15437174244495,7
True,-0.9665397432728111,1
False,-0.44913311223838254,1
False,-1.9354659754500838,2
False,-2.4521169844512642,3
False,-2.653778412367806,4
False,-2.9114194785232606,5
True,-2.7193979782196918,6
False,-0.44913311223838254,1
False,-1.9354659754500838,2
False,-2.4521169844512642,3
False,-2.653778412367806,4
False,-2.9114194785232606,5
True,-2.7193979782196918,6
False,-0.6752603188019152,1
False,-2.5280130976233095,2
False,-3.1549382224889597,3
False,-3.4035684051270656,4
False,-3.464777241884855,5
True,-3.895850986961409,6
False,-0.7553710259790531,1
False,-2.0629492611219464,2
False,-2.632978470646611,3
False,-2.906110445372671,4
False,-3.0787296657874843,5
True,-3.378010293194808,6
False,-2.133942748661353,1
False,-3.4730987994568023,2
False,-3.936196676647245,3
False,-4.215078108274318,4
True,-4.117719484401306,5
False,-0.8027833133241188,1
False,-2.6404380091567075,2
False,-3.1340541759311558,3
False,-3.362124086495366,4
True,-3.6327737406045983,5
False,-0.42654433477900927,1
False,-2.188514635625121,2
False,-2.8857827782179415,3
False,-3.0138284413211345,4
True,-3.307321912837634,5
False,2.71994846802573,1
False,-0.6147232054507644,2
False,-2.071997444102234,3
False,-2.4306477531618964,4
True,-2.395952419023134,5
False,1.1122428210393547,1
False,-1.5482435834455175,2
False,-2.353615824713764,3
False,-2.380520177814779,4
False,-2.693008858791391,5
False,-3.0933708409300404,6
True,-3.2960400246969046,7
False,-1.147118739740506,1
False,-2.2396142389363676,2
False,-3.289213430525667,3
False,-3.640747522616801,4
False,-3.502342892483317,5
True,-3.9027947189335905,6
False,-2.4706514573507503,1
False,-3.5746774412784124,2
False,-3.9213230284009946,3
False,-3.9483661944395925,4
True,-4.279051239325151,5
True,-0.8972580847934355,1
False,-0.1736422287918717,1
False,-2.070292840114993,2
False,-2.5212580934969866,3
False,-2.773621518160988,4
True,-3.226274242824458,5
True,-1.0390698592159662,1
False,-0.3029469193743576,1
False,-2.2118565734310685,2
False,-2.373255880886115,3
False,-2.8939385580459343,4
True,-3.223178853014349,5
False,-1.3387341624444602,1
False,-2.9032750781718515,2
False,-3.085477923863805,3
False,-3.3082624111947285,4
True,-3.7003798901375253,5
False,1.011728450498281,1
False,-1.5021036158791268,2
False,-3.2818601857673393,3
False,-3.940172818455253,4
True,-4.525465484623051,5
False,-0.9174760566221217,1
False,-2.2324246102274965,2
False,-2.1227877229494942,3
False,-2.260039316136349,4
True,-2.40876263629842,5
False,-0.9174760566221217,1
False,-2.2324246102274965,2
False,-2.1227877229494942,3
False,-2.260039316136349,4
True,-2.40876263629842,5
False,-0.9413818404687716,1
False,-2.5742379250797827,2
False,-2.9772682765686884,3
True,-3.131683367735023,4
False,-2.0631680438065074,1
False,-2.9636213251356156,2
False,-3.4783530945193957,3
True,-3.352967278365798,4
True,-1.6323226075879516,1
True,-1.6323226075879516,1
True,-1.6323226075879516,1
False,2.153207876734982,1
False,-1.0688132748376369,2
False,-3.2480997869927712,3
False,-3.4851160631803846,4
True,-3.8448443317367555,5
True,-1.0238389928897527,1
False,-2.4147993781559456,1
False,-3.3602675513295224,2
False,-3.6765100691926564,3
True,-3.8029935088913702,4
False,-0.7019450330243903,1
False,-2.4573580971152547,2
False,-2.9595806025016547,3
True,-2.9331188437123368,4
True,-2.8820008681463403,1
True,-2.8820008681463403,1
True,-0.43762328319065996,1
False,-0.11622482466892822,1
False,-1.442152163723647,2
False,-2.1442364385733086,3
False,-2.524558869236358,4
True,-2.7098182854205053,5
False,-2.950543832799872,1
False,-3.5021364915206394,2
True,-3.598206686364145,3
True,-1.604175502857148,1
False,-1.0121503038814066,1
False,-2.472289196076234,2
True,-3.257205369442536,3
True,-0.7559829634629343,1
True,-0.17696750629132238,1
False,-2.1406181685480035,1
False,-3.1005123396932954,2
True,-3.5643895560718435,3
False,-1.2505379892683428,1
False,-2.4657129270942133,2
True,-3.1020690409075966,3
False,-2.8263153530211773,1
False,-3.5663896090528797,2
True,-3.9477674694260663,3
False,-0.9534781154138289,1
False,-2.3464925944222115,2
True,-2.7636075599085843,3
False,-3.6922167563560038,1
False,-3.1866609027783697,2
True,-4.017052868536642,3
False,-0.22452072488356842,1
False,-3.1637170075208907,2
False,-4.406077192667558,3
True,-4.488273853868101,4
False,-0.6223906562190047,1
False,-1.5266960078313145,2
False,-2.34894111975202,3
True,-2.842689804308742,4
False,-2.6157821615449173,1
False,-2.9617461708097292,2
True,-2.9122441157470647,3
True,-0.2042907596005509,1
False,-2.366368041749619,1
False,-3.2088416850515293,2
True,-3.634332776553189,3
False,-3.413844343362923,1
True,-4.351219863031124,2
False,-2.8354878957741296,1
True,-3.2564369572353775,2
False,-2.8354878957741296,1
True,-3.2564369572353775,2
False,-3.3475548539549176,1
True,-3.795936642815221,2
False,-4.747178478989624,1
True,-4.755817198188162,2
False,-2.5798250239229223,1
True,-2.891775945581265,2
False,-2.9775573530820814,1
True,-3.935479081464487,2
False,-2.0437041150183477,1
True,-2.1509989670652443,2
True,-2.550470882734431,1
True,-2.514250928139391,1
True,-3.4451925605420053,1
False,-1.007728997228139,1
True,-1.80678040504939,2
True,-1.352772863150306,1
True,-1.352772863150306,1
True,-1.352772863150306,1
False,-0.3955178645625833,1
False,-1.4065936764428908,2
False,-1.717700655754038,3
False,-2.331241387978104,4
False,-2.830159996928698,5
False,-3.0383811206682685,6
True,-3.2198695995950546,7
False,-0.29340950741736394,1
False,-2.1075711129554904,2
False,-2.442883741291944,3
False,-2.99656851053652,4
False,-3.6530118555807896,5
True,-3.794104021703715,6
False,-1.713586609549921,1
False,-2.9320252046913264,2
False,-3.2829932763771823,3
False,-3.8232731457142375,4
False,-4.264311702196973,5
True,-4.636314484203526,6
False,-1.713586609549921,1
False,-2.9320252046913264,2
False,-3.2829932763771823,3
False,-3.8232731457142375,4
False,-4.264311702196973,5
True,-4.636314484203526,6
False,0.06528292153573881,1
False,-0.7363884482955749,2
False,-1.0528851950286096,3
False,-1.7207649183220128,4
False,-2.48043266395446,5
True,-2.871738820600289,6
True,-2.2519299423163,1
True,-2.2519299423163,1
True,-2.2519299423163,1
True,-2.2519299423163,1
False,-0.6989506158864532,1
False,-1.4827496372690103,2
False,-1.6456056437115005,3
False,-1.9382951035249563,4
False,-2.246611781389839,5
True,-2.3516403662703245,6
False,0.12417838018831501,1
False,-1.0401116411536673,2
False,-1.9171057619845424,3
False,-2.448200502029723,4
False,-2.807087093294231,5
True,-2.7647199539001304,6
False,0.4414973764223736,1
False,-1.7343509672448356,2
False,-2.5772350597065623,3
False,-3.165815152587184,4
False,-3.5613973736020683,5
True,-3.8855003803158406,6
False,-0.1862217085498822,1
False,-1.3835768421598877,2
False,-1.911809376244783,3
False,-2.8150876973493535,4
True,-3.1883192187674534,5
False,-1.916778416643574,1
False,-2.657074013306863,2
False,-2.8760732339507213,3
False,-3.0655492696209787,4
True,-3.4025439284023986,5
False,-0.5940359474602099,1
False,-1.7380395881997883,2
True,-1.3701681694668386,3
False,-1.7082167326542497,1
False,-2.4613662735133572,2
False,-2.5436691684770794,3
False,-3.2731701810579166,4
False,-3.854568615465167,5
True,-4.031158449916192,6
False,0.07905382484063958,1
False,-1.2932059435811116,2
False,-2.2125493857577836,3
False,-2.2492034662013425,4
True,-2.826594995772723,5
True,-0.9886098118905905,1
True,-0.9886098118905905,1
False,-1.3336496644470117,1
False,-1.407567923438903,2
False,-1.6774110907978148,3
False,-3.7774373235172924,4
True,-5.182551133394397,5
True,-0.49287279831895603,1
False,-0.901112123773618,1
False,-2.466399906940885,2
False,-2.8501819737927256,3
False,-2.9572046827250626,4
True,-2.9824086123555205,5
False,-0.901112123773618,1
False,-2.466399906940885,2
False,-2.8501819737927256,3
False,-2.9572046827250626,4
True,-2.9824086123555205,5
False,-0.901112123773618,1
False,-2.466399906940885,2
False,-2.8501819737927256,3
False,-2.9572046827250626,4
True,-2.9824086123555205,5
False,-1.0107493666312461,1
False,-2.8731551559329334,2
False,-3.442591333795587,3
True,-3.52122740856617,4
False,-0.26466470256503244,1
False,-1.9189750847926477,2
False,-2.4478035431099063,3
False,-2.866772624807246,4
True,-3.6058533285089998,5
False,-0.19006506077997112,1
False,-3.6949585001903187,2
False,-4.770487521873128,3
True,-5.58261710196494,4
False,-1.4299463426809798,1
False,-2.3499651439675096,2
False,-2.8867237256725873,3
True,-3.4615667208677516,4
False,-1.4299463426809798,1
